,layer,feature,indirect_effect,prompt_str,response_str,node_type,absolute_ie
135627,5,8907,0.1416025161743164,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.1416025161743164
245023,9,16927,-0.13537921011447906,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.13537921011447906
171545,6,19481,-0.12803928554058075,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.12803928554058075
212447,8,9695,-0.12682919204235077,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.12682919204235077
84342,3,8310,-0.12581202387809753,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.12581202387809753
57016,2,6328,-0.11936956644058228,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.11936956644058228
12728,0,12728,-0.10842861235141754,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.10842861235141754
88774,3,12742,-0.10295303910970688,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.10295303910970688
285404,11,6620,-0.10288560390472412,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.10288560390472412
52781,2,2093,-0.10140253603458405,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.10140253603458405
74266,2,23578,-0.10103998333215714,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.10103998333215714
145526,5,18806,-0.09967243671417236,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.09967243671417236
224097,8,21345,-0.09857633709907532,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.09857633709907532
93720,3,17688,-0.09812165796756744,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.09812165796756744
244612,9,16516,-0.0961168110370636,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.0961168110370636
160359,6,8295,-0.09492246061563492,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.09492246061563492
191389,7,13981,-0.09210190176963806,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.09210190176963806
279603,11,819,0.09189382195472717,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.09189382195472717
60457,2,9769,0.09103913605213165,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.09103913605213165
144575,5,17855,0.09055797010660172,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.09055797010660172
161261,6,9197,-0.09042100608348846,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.09042100608348846
255605,10,2165,-0.0901309996843338,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.0901309996843338
271010,10,17570,-0.08973899483680725,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.08973899483680725
156958,6,4894,-0.08708429336547852,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.08708429336547852
273178,10,19738,-0.08564263582229614,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.08564263582229614
153820,6,1756,0.08517101407051086,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.08517101407051086
79806,3,3774,-0.08374231308698654,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.08374231308698654
95246,3,19214,-0.08084837347269058,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.08084837347269058
237075,9,8979,-0.07969807088375092,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.07969807088375092
84553,3,8521,-0.07656139135360718,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.07656139135360718
124585,4,23209,-0.07568883895874023,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.07568883895874023
67160,2,16472,-0.07533028721809387,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.07533028721809387
268160,10,14720,-0.07521125674247742,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.07521125674247742
149188,5,22468,-0.07416369020938873,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.07416369020938873
93995,3,17963,0.07414525002241135,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.07414525002241135
186244,7,8836,-0.07396714389324188,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.07396714389324188
32285,1,6941,-0.07396402209997177,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.07396402209997177
132172,5,5452,-0.07267025858163834,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.07267025858163834
102359,4,983,-0.07177259773015976,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.07177259773015976
261409,10,7969,0.07172621786594391,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.07172621786594391
261175,10,7735,-0.07128159701824188,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.07128159701824188
117678,4,16302,0.0702526867389679,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.0702526867389679
275848,10,22408,-0.06827357411384583,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.06827357411384583
118238,4,16862,-0.06741046905517578,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.06741046905517578
276073,10,22633,-0.06723330169916153,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.06723330169916153
277534,10,24094,-0.06718424707651138,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.06718424707651138
277663,10,24223,-0.0670296847820282,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.0670296847820282
278409,10,393,0.06691133230924606,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error,0.06691133230924606
158549,6,6485,-0.06648656725883484,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.06648656725883484
161199,6,9135,-0.06541959196329117,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.06541959196329117
111796,4,10420,-0.06541937589645386,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.06541937589645386
115590,4,14214,0.06536790728569031,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.06536790728569031
141296,5,14576,0.06535734981298447,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.06535734981298447
190067,7,12659,-0.06485939025878906,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.06485939025878906
15033,0,15033,-0.06424861401319504,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.06424861401319504
130591,5,3871,-0.06401066482067108,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.06401066482067108
226355,8,23603,-0.06393170356750488,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.06393170356750488
135598,5,8878,-0.062147267162799835,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.062147267162799835
296131,11,17347,0.061377961188554764,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.061377961188554764
7034,0,7034,-0.06096569076180458,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.06096569076180458
166087,6,14023,0.06085383892059326,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.06085383892059326
119954,4,18578,-0.060769230127334595,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.060769230127334595
101655,4,279,-0.06037436053156853,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.06037436053156853
133137,5,6417,-0.060290273278951645,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.060290273278951645
89911,3,13879,0.05966251343488693,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.05966251343488693
225412,8,22660,-0.05957825109362602,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.05957825109362602
171215,6,19151,-0.05940885469317436,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.05940885469317436
102400,4,1024,0.059159815311431885,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.059159815311431885
106712,4,5336,0.05866219475865364,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.05866219475865364
282481,11,3697,-0.057896219193935394,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.057896219193935394
73387,2,22699,0.05721239373087883,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.05721239373087883
166922,6,14858,-0.05672839283943176,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.05672839283943176
48921,1,23577,-0.05637581646442413,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.05637581646442413
184584,7,7176,-0.05578598380088806,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.05578598380088806
196239,7,18831,0.05528295785188675,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.05528295785188675
77715,3,1683,-0.055095601826906204,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.055095601826906204
66873,2,16185,0.0548950619995594,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.0548950619995594
96412,3,20380,-0.05334744602441788,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.05334744602441788
246294,9,18198,-0.05228904262185097,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.05228904262185097
297149,11,18365,0.05198964104056358,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.05198964104056358
80341,3,4309,-0.05192597210407257,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.05192597210407257
93278,3,17246,-0.05143173411488533,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.05143173411488533
198158,7,20750,-0.05115164443850517,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.05115164443850517
62600,2,11912,-0.050670843571424484,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.050670843571424484
254844,10,1404,-0.05058056861162186,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.05058056861162186
139907,5,13187,0.04980265349149704,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04980265349149704
176727,6,87,0.0496821291744709,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error,0.0496821291744709
87718,3,11686,-0.0491909421980381,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.0491909421980381
148267,5,21547,-0.048808369785547256,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.048808369785547256
151776,5,480,-0.04857369512319565,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error,0.04857369512319565
289917,11,11133,-0.0485689714550972,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.0485689714550972
50734,2,46,-0.04844219610095024,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04844219610095024
41574,1,16230,-0.047897785902023315,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.047897785902023315
208678,8,5926,-0.047106292098760605,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.047106292098760605
299490,11,20706,0.047065477818250656,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.047065477818250656
212678,8,9926,0.046662263572216034,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.046662263572216034
7292,0,7292,-0.04618854448199272,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04618854448199272
166335,6,14271,-0.04557200148701668,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04557200148701668
16715,0,16715,-0.045452143996953964,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.045452143996953964
143881,5,17161,0.04530163109302521,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04530163109302521
161885,6,9821,0.044920165091753006,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.044920165091753006
276646,10,23206,-0.0448407307267189,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.0448407307267189
256729,10,3289,-0.044837210327386856,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.044837210327386856
174162,6,22098,-0.04453519731760025,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04453519731760025
116773,4,15397,-0.04403552785515785,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04403552785515785
118003,4,16627,-0.04350215196609497,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04350215196609497
201350,7,23942,-0.04340418055653572,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04340418055653572
177395,6,755,0.043369315564632416,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error,0.043369315564632416
188876,7,11468,0.0431358627974987,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.0431358627974987
56598,2,5910,-0.04304765909910202,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04304765909910202
185481,7,8073,0.04285607114434242,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04285607114434242
141198,5,14478,-0.04281296953558922,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04281296953558922
238858,9,10762,-0.04271400719881058,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04271400719881058
234109,9,6013,-0.04261259734630585,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04261259734630585
182513,7,5105,-0.042442478239536285,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.042442478239536285
155757,6,3693,0.04218652471899986,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04218652471899986
96861,3,20829,-0.041782036423683167,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.041782036423683167
227808,8,480,-0.04168124869465828,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error,0.04168124869465828
118978,4,17602,0.04161129891872406,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04161129891872406
90410,3,14378,-0.04147223010659218,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04147223010659218
247045,9,18949,-0.04141698405146599,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04141698405146599
109877,4,8501,-0.040697112679481506,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.040697112679481506
178565,7,1157,0.040670230984687805,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.040670230984687805
66108,2,15420,0.04055901616811752,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.04055901616811752
147266,5,20546,-0.040330465883016586,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.040330465883016586
86596,3,10564,0.03980505093932152,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03980505093932152
55471,2,4783,0.03968392312526703,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03968392312526703
66575,2,15887,0.03966943919658661,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03966943919658661
106199,4,4823,-0.03930869698524475,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03930869698524475
125148,4,23772,0.03841631859540939,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03841631859540939
139755,5,13035,0.03835692256689072,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03835692256689072
256978,10,3538,-0.03829434514045715,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03829434514045715
59209,2,8521,0.038154151290655136,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.038154151290655136
60198,2,9510,0.03806677088141441,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03806677088141441
278113,10,97,0.038050830364227295,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error,0.038050830364227295
70430,2,19742,0.037876032292842865,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.037876032292842865
99032,3,23000,-0.03782277554273605,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03782277554273605
168447,6,16383,0.037371255457401276,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.037371255457401276
60355,2,9667,0.037255480885505676,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.037255480885505676
166396,6,14332,-0.037024497985839844,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.037024497985839844
280726,11,1942,-0.03690076246857643,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03690076246857643
303340,11,24556,-0.03687087446451187,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03687087446451187
259541,10,6101,0.036837588995695114,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.036837588995695114
207423,8,4671,-0.03674875199794769,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03674875199794769
139460,5,12740,0.0366363525390625,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.0366363525390625
303745,11,385,-0.036215197294950485,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error,0.036215197294950485
144845,5,18125,0.035822536796331406,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.035822536796331406
20998,0,20998,-0.03577587381005287,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03577587381005287
79678,3,3646,0.03572642430663109,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03572642430663109
202071,7,87,0.035669587552547455,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error,0.035669587552547455
74468,2,23780,0.0356236957013607,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.0356236957013607
283350,11,4566,0.03542464226484299,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03542464226484299
10337,0,10337,-0.03525850176811218,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03525850176811218
177013,6,373,0.03525150567293167,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error,0.03525150567293167
70901,2,20213,-0.035230789333581924,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.035230789333581924
133512,5,6792,0.035164520144462585,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.035164520144462585
31112,1,5768,0.03501726686954498,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03501726686954498
160215,6,8151,-0.03496833145618439,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03496833145618439
300853,11,22069,-0.03491561859846115,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03491561859846115
230331,9,2235,-0.03489509969949722,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03489509969949722
180184,7,2776,0.03488984704017639,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03488984704017639
72642,2,21954,-0.0346992202103138,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.0346992202103138
137304,5,10584,0.03448396921157837,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03448396921157837
278349,10,333,0.03436091169714928,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error,0.03436091169714928
252938,9,266,0.034024834632873535,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error,0.034024834632873535
196085,7,18677,0.03392096608877182,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03392096608877182
253065,9,393,0.03379727900028229,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error,0.03379727900028229
247397,9,19301,0.033642079681158066,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.033642079681158066
294188,11,15404,0.03352465480566025,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03352465480566025
70887,2,20199,-0.03324592113494873,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03324592113494873
278029,10,13,0.0331113375723362,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error,0.0331113375723362
199916,7,22508,-0.03273293375968933,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03273293375968933
303505,11,145,0.032684434205293655,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error,0.032684434205293655
276592,10,23152,-0.03261634334921837,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03261634334921837
107515,4,6139,-0.03256358951330185,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03256358951330185
74576,2,23888,-0.032387346029281616,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.032387346029281616
116390,4,15014,-0.032374925911426544,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.032374925911426544
278237,10,221,0.03228059411048889,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error,0.03228059411048889
73877,2,23189,0.03221336752176285,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03221336752176285
109200,4,7824,0.032202161848545074,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.032202161848545074
289212,11,10428,0.032113756984472275,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.032113756984472275
137937,5,11217,-0.03203164413571358,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03203164413571358
226495,8,23743,-0.03202405944466591,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03202405944466591
260424,10,6984,-0.031964659690856934,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.031964659690856934
228849,9,753,-0.03179866820573807,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03179866820573807
260793,10,7353,-0.03155570104718208,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03155570104718208
193513,7,16105,0.03152129054069519,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03152129054069519
237351,9,9255,0.03137652203440666,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.03137652203440666
144109,5,17389,0.031232357025146484,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.031232357025146484
182140,7,4732,-0.031075017526745796,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.031075017526745796
177120,6,480,0.030798595398664474,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error,0.030798595398664474
278161,10,145,0.030697718262672424,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error,0.030697718262672424
195688,7,18280,0.030597111210227013,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.030597111210227013
